Tamanho Hairpin sem Loop,Entropia_HP_S_Loop,HP_S_Loop_state_change,GC_Inicial_Hairpin
0.3333,0.8609,0.1562,0
0.3333,0.9406,0.0312,0.25
0.3333,0.9406,0.0312,0
0.3333,0.9406,0.1562,0
0.3333,0.9406,0.1562,0.0833
0.3333,0.9406,0.2188,0
0.3333,0.9406,0.3438,0
0.3333,0.9406,0.2812,0
0.3333,0.9406,0.0938,0
0.3333,0.9406,0.2188,0.0833
0.3333,0.9406,0.2812,0.0833
0.3333,0.9406,0.0938,0.0833
0.3333,0.9406,0.1562,0.1667
0.3333,0.9406,0.0938,0.1667
0.3333,0.9855,0.0312,0.3333
0.3333,0.9855,0.0312,0
0.3333,0.9855,0.2812,0
0.3333,0.9855,0.2812,0.0833
0.3333,0.9855,0.1562,0
0.3333,0.9855,0.2188,0
0.3333,0.9855,0.3438,0.0833
0.3333,0.9855,0.3438,0
0.3333,0.9855,0.4062,0
0.3333,0.9855,0.1562,0.0833
0.3333,0.9855,0.2188,0.1667
0.3333,0.9855,0.4062,0.0833
